"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.647" 7 7 7
"z.648" 7 7 7
"z.649" 7 7 7
"z.650" 5 5 5
"z.651" 7 7 7
"z.652" 7 7 7
"z.653" 9 9 9
"z.654" 7 7 7
"z.655" 7 7 7
"z.656" 7 7 7
"z.657" 7 7 7
"z.658" 5 5 5
"z.659" 9 9 9
"z.660" 9 9 9
"z.661" 9 9 9
"z.662" 7 7 7
"z.663" 2 2 2
"z.664" 5 5 5
"z.665" 9 9 9
"z.666" 7 7 7
"z.667" 9 9 9
"z.668" 7 7 7
"z.669" 7 7 7
"z.670" 7 7 7
"z.671" 9 9 9
"z.672" 5 5 5
"z.673" 9 9 9
"z.674" 9 9 9
"z.675" 9 9 9
"z.676" 9 9 9
"z.677" 1 1 1
"z.678" 9 9 9
"z.679" 4 4 4
"z.680" 1 1 1
"z.681" 4 4 4
"z.682" 3 3 3
"z.683" 9 9 9
"z.684" 2 2 2
"z.685" 1 1 1
"z.686" 2 2 2
"z.687" 4 4 4
"z.688" 1 1 1
"z.689" 1 1 1
"z.690" 8 8 8
"z.691" 1 1 1
"z.692" 4 4 4
"z.693" 2 2 2
"z.694" 1 1 1
"z.695" 1 1 1
"z.696" 1 1 1
"z.697" 1 1 1
"z.698" 1 1 1
"z.699" 1 1 1
"z.700" 1 1 1
"z.701" 4 4 4
"z.702" 2 2 2
"z.703" 1 1 1
"z.704" 9 9 9
"z.705" 2 2 2
"z.706" 9 9 9
"z.707" 9 9 9
"z.708" 9 9 9
"z.709" 2 2 2
"z.710" 9 9 9
"z.711" 9 9 9
"z.712" 9 9 9
"z.713" 2 2 2
"z.714" 9 9 9
"z.715" 9 9 9
"z.716" 2 2 2
"z.717" 1 1 1
"z.718" 1 1 1
"z.719" 1 1 1
"z.720" 9 9 9
"z.721" 9 9 9
"z.722" 2 2 2
"z.723" 2 2 2
"z.724" 2 2 2
"z.725" 9 9 9
"z.726" 2 2 2
"z.727" 2 2 2
"z.728" 9 9 9
"z.729" 9 9 9
"z.730" 2 2 2
"z.731" 2 2 2
"z.732" 7 7 7
"z.733" 9 9 9
"z.734" 9 9 9
"z.735" 9 9 9
"z.736" 9 9 9
"z.737" 9 9 9
"z.738" 9 9 9
"z.739" 9 9 9
"z.740" 9 9 9
"z.741" 2 2 2
"z.742" 9 9 9
"z.743" 7 7 7
"z.744" 9 9 9
"z.745" 9 9 9
"z.746" 9 9 9
"z.747" 9 9 9
"z.748" 9 9 9
"z.749" 9 9 9
"z.750" 2 2 2
"z.751" 9 9 9
"z.752" 9 9 9
"z.753" 9 9 9
"z.754" 7 7 7
"z.755" 5 5 5
"z.756" 5 5 5
"z.757" 5 5 5
"z.758" 9 9 9
"z.759" 9 9 9
"z.760" 7 7 7
"z.761" 7 7 7
"z.762" 9 9 9
"z.763" 9 9 9
"z.764" 9 9 9
"z.765" 9 9 9
"z.766" 9 9 9
"z.767" 5 5 5
"z.768" 7 7 7
"z.769" 9 9 9
"z.770" 7 7 7
"z.771" 7 7 7
"z.772" 7 7 7
"z.773" 7 7 7
"z.774" 7 7 7
"z.775" 7 7 7
"z.776" 9 9 9
"z.777" 7 7 7
"z.778" 7 7 7
"z.779" 5 5 5
"z.780" 7 7 7
"z.781" 7 7 7
"z.782" 9 9 9
"z.783" 7 7 7
"z.784" 7 7 7
"z.785" 7 7 7
"z.786" 7 7 7
"z.787" 9 9 9
"z.788" 7 7 7
"z.789" 7 7 7
"z.790" 7 7 7
"z.791" 7 7 7
"z.792" 7 7 7
"z.793" 7 7 7
"z.794" 7 7 7
"z.795" 7 7 7
"z.796" 7 7 7
"z.797" 9 9 9
"z.798" 7 7 7
"z.799" 9 9 9
"z.800" 1 1 1
"z.801" 2 2 2
"z.802" 2 2 2
"z.803" 1 1 1
"z.804" 1 1 1
"z.805" 2 2 2
"z.806" 9 9 9
"z.807" 2 2 2
"z.808" 5 5 5
"z.809" 5 5 5
"z.810" 9 9 9
"z.811" 9 9 9
"z.812" 9 9 9
"z.813" 9 9 9
"z.814" 2 2 2
"z.815" 9 9 9
"z.816" 9 9 9
"z.817" 2 2 2
"z.818" 9 9 9
"z.819" 9 9 9
"z.820" 7 7 7
"z.821" 7 7 7
"z.822" 5 5 5
"z.823" 9 9 9
"z.824" 7 7 7
"z.825" 7 7 7
"z.826" 9 9 9
"z.827" 7 7 7
"z.828" 7 7 7
"z.829" 5 5 5
"z.830" 9 9 9
"z.831" 5 5 5
"z.832" 9 9 9
"z.833" 9 9 9
"z.834" 7 7 7
"z.835" 5 5 5
"z.836" 7 7 7
"z.837" 5 5 5
"z.838" 9 9 9
"z.839" 9 9 9
"z.840" 5 5 5
"z.841" 1 1 1
"z.842" 1 1 1
"z.843" 1 1 1
"z.844" 1 1 1
"z.845" 2 2 2
"z.846" 2 2 2
"z.847" 9 9 9
"z.848" 9 9 9
"z.849" 7 7 7
"z.850" 7 7 7
"z.851" 7 7 7
"z.852" 7 7 7
"z.853" 7 7 7
"z.854" 9 9 9
"z.855" 5 5 5
"z.856" 9 9 9
"z.857" 7 7 7
"z.858" 5 5 5
"z.859" 7 7 7
"z.860" 7 7 7
"z.861" 7 7 7
"z.862" 5 5 5
"z.863" 6 6 6
"z.864" 1 1 1
"z.865" 1 1 1
"z.866" 6 6 6
"z.867" 3 3 3
"z.868" 5 5 5
"z.869" 5 5 5
"z.870" 7 7 7
"z.871" 1 1 1
"z.872" 9 9 9
"z.873" 9 9 9
"z.874" 9 9 9
"z.875" 9 9 9
"z.876" 9 9 9
"z.877" 7 7 7
"z.878" 9 9 9
"z.879" 9 9 9
"z.880" 9 9 9
"z.881" 9 9 9
"z.882" 7 7 7
"z.883" 9 9 9
"z.884" 5 5 5
"z.885" 6 6 6
"z.886" 3 3 3
"z.887" 7 7 7
"z.888" 5 5 5
"z.889" 5 5 5
"z.890" 7 7 7
"z.891" 7 7 7
"z.892" 7 7 7
"z.893" 7 7 7
"z.894" 5 5 5
"z.895" 7 7 7
"z.896" 7 7 7
"z.897" 7 7 7
"z.898" 7 7 7
"z.899" 9 9 9
"z.900" 7 7 7
"z.901" 7 7 7
"z.902" 7 7 7
"z.903" 7 7 7
"z.904" 7 7 7
"z.905" 5 5 5
"z.906" 8 8 8
"z.907" 7 7 7
"z.908" 3 3 3
"z.909" 7 7 7
"z.910" 9 9 9
"z.911" 5 5 5
"z.912" 5 5 5
"z.913" 7 7 7
"z.914" 5 5 5
"z.915" 7 7 7
"z.916" 7 7 7
"z.917" 7 7 7
"z.918" 2 2 2
"z.919" 4 4 4
"z.920" 5 5 5
"z.921" 9 9 9
"z.922" 9 9 9
"z.923" 4 4 4
"z.924" 7 7 7
"z.925" 7 7 7
"z.926" 9 9 9
"z.927" 7 7 7
"z.928" 9 9 9
"z.929" 5 5 5
"z.930" 7 7 7
"z.931" 7 7 7
"z.932" 7 7 7
"z.933" 5 5 5
"z.934" 7 7 7
"z.935" 7 7 7
"z.936" 9 9 9
"z.937" 1 1 1
"z.938" 9 9 9
"z.939" 5 5 5
"z.940" 9 9 9
"z.941" 1 1 1
"z.942" 9 9 9
"z.943" 4 4 4
"z.944" 2 2 2
"z.945" 7 7 7
"z.946" 3 3 3
"z.947" 1 1 1
"z.948" 1 1 1
"z.949" 2 2 2
"z.950" 2 2 2
"z.951" 9 9 9
"z.952" 1 1 1
"z.953" 2 2 2
"z.954" 9 9 9
"z.955" 4 4 4
"z.956" 3 3 3
"z.957" 5 5 5
"z.958" 4 4 4
"z.959" 6 6 6
"z.960" 3 3 3
"z.961" 7 7 7
"z.962" 5 5 5
"z.963" 9 9 9
"z.964" 1 1 1
"z.965" 8 8 8
"z.966" 2 2 2
"z.967" 6 6 6
"z.968" 8 8 8
"z.969" 4 4 4
"z.970" 8 8 8
"z.971" 7 7 7
"z.972" 1 1 1
"z.973" 3 3 3
"z.974" 9 9 9
"z.975" 4 4 4
"z.976" 4 4 4
"z.977" 4 4 4
"z.978" 5 5 5
"z.979" 3 3 3
"z.980" 3 3 3
"z.981" 7 7 7
"z.982" 5 5 5
"z.983" 7 7 7
"z.984" 7 7 7
"z.985" 5 5 5
"z.986" 5 5 5
"z.987" 7 7 7
"z.988" 7 7 7
"z.989" 7 7 7
"z.990" 9 9 9
"z.991" 5 5 5
"z.992" 8 8 8
"z.993" 8 8 8
"z.994" 1 1 1
"z.995" 5 5 5
"z.996" 1 1 1
"z.997" 8 8 8
"z.998" 8 8 8
"z.999" 5 5 5
"z.1000" 6 6 6
"z.1001" 5 5 5
"z.1002" 9 9 9
"z.1003" 7 7 7
"z.1004" 4 4 4
"z.1005" 5 5 5
"z.1006" 5 5 5
"z.1007" 7 7 7
"z.1008" 7 7 7
"z.1009" 4 4 4
"z.1010" 6 6 6
"z.1011" 3 3 3
"z.1012" 7 7 7
"z.1013" 7 7 7
"z.1014" 5 5 5
"z.1015" 7 7 7
"z.1016" 7 7 7
"z.1017" 7 7 7
"z.1018" 5 5 5
"z.1019" 7 7 7
"z.1020" 5 5 5
"z.1021" 7 7 7
"z.1022" 7 7 7
"z.1023" 3 3 3
"z.1024" 7 7 7
"z.1025" 7 7 7
"z.1026" 7 7 7
"z.1027" 3 3 3
"z.1028" 3 3 3
"z.1029" 7 7 7
"z.1030" 5 5 5
"z.1031" 7 7 7
"z.1032" 6 6 6
"z.1033" 8 8 8
"z.1034" 1 1 1
"z.1035" 1 1 1
"z.1036" 6 6 6
"z.1037" 1 1 1
"z.1038" 1 1 1
"z.1039" 3 3 3
"z.1040" 6 6 6
"z.1041" 1 1 1
"z.1042" 1 1 1
"z.1043" 4 4 4
"z.1044" 6 6 6
"z.1045" 1 1 1
"z.1046" 6 6 6
"z.1047" 8 8 8
"z.1048" 1 1 1
"z.1049" 1 1 1
"z.1050" 1 1 1
"z.1051" 8 8 8
"z.1052" 4 4 4
"z.1053" 3 3 3
"z.1054" 3 3 3
"z.1055" 3 3 3
"z.1056" 3 3 3
"z.1057" 3 3 3
"z.1058" 4 4 4
"z.1059" 3 3 3
"z.1060" 3 3 3
"z.1061" 3 3 3
"z.1062" 3 3 3
"z.1063" 6 6 6
"z.1064" 3 3 3
"z.1065" 7 7 7
"z.1066" 6 6 6
"z.1067" 3 3 3
"z.1068" 5 5 5
"z.1069" 9 9 9
"z.1070" 7 7 7
"z.1071" 1 1 1
"z.1072" 3 3 3
"z.1073" 8 8 8
"z.1074" 4 4 4
"z.1075" 4 4 4
"z.1076" 3 3 3
"z.1077" 9 9 9
"z.1078" 8 8 8
"z.1079" 5 5 5
"z.1080" 3 3 3
"z.1081" 3 3 3
"z.1082" 3 3 3
"z.1083" 3 3 3
"z.1084" 3 3 3
"z.1085" 3 3 3
"z.1086" 7 7 7
"z.1087" 3 3 3
"z.1088" 3 3 3
"z.1089" 3 3 3
"z.1090" 3 3 3
"z.1091" 1 1 1
"z.1092" 8 8 8
"z.1093" 3 3 3
"z.1094" 8 8 8
"z.1095" 6 6 6
"z.1096" 6 6 6
"z.1097" 6 6 6
"z.1098" 6 6 6
"z.1099" 5 5 5
"z.1100" 7 7 7
"z.1101" 1 1 1
"z.1102" 9 9 9
"z.1103" 1 1 1
"z.1104" 9 9 9
"z.1105" 2 2 2
"z.1106" 9 9 9
"z.1107" 9 9 9
"z.1108" 9 9 9
"z.1109" 9 9 9
"z.1110" 2 2 2
"z.1111" 9 9 9
"z.1112" 9 9 9
"z.1113" 2 2 2
"z.1114" 2 2 2
"z.1115" 9 9 9
"z.1116" 1 1 1
"z.1117" 2 2 2
"z.1118" 2 2 2
"z.1119" 9 9 9
"z.1120" 1 1 1
"z.1121" 9 9 9
"z.1122" 7 7 7
"z.1123" 2 2 2
"z.1124" 4 4 4
"z.1125" 2 2 2
"z.1126" 7 7 7
"z.1127" 2 2 2
"z.1128" 2 2 2
"z.1129" 7 7 7
"z.1130" 9 9 9
"z.1131" 9 9 9
"z.1132" 9 9 9
"z.1133" 9 9 9
"z.1134" 9 9 9
"z.1135" 9 9 9
"z.1136" 9 9 9
"z.1137" 9 9 9
"z.1138" 2 2 2
"z.1139" 9 9 9
"z.1140" 9 9 9
"z.1141" 2 2 2
"z.1142" 2 2 2
"z.1143" 9 9 9
"z.1144" 9 9 9
